Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates,SA
"RT @jeeberscreeper1: Over 24 hours later, still haven't been contacted by @AirbnbHelp to get help w/ refund as THEY said I would be. @airbn…",140,1245884255940554752,Fri Apr 03 01:22:08 +0000 2020,"<a href=""https://vchima.com"" rel=""nofollow"">test-shield-bot</a>",0,1,nan,nan,nan,0.0
RT @BillGates: There’s no question the United States missed the opportunity to get ahead of the novel #coronavirus. But the window for maki…,140,1245884265855889409,Fri Apr 03 01:22:11 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,8818,nan,nan,nan,0.0
"Dear Ugandans Stop upgrading this #COVID19,Have you been realising that #COVID19 Is not enough for us ? I see soon you gonna realize #COVIDPRO🤔🤔🤷‍♂🤷‍♂ https://t.co/2THoKp6znE",174,1245977802219888641,Fri Apr 03 07:33:51 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",6,1,nan,nan,nan,0.0
RT @lewis_goodall: NEW: Buckingham Palace confirms that the Queen has recorded a message for the nation and the Commonwealth about the #cov…,140,1246071150297272321,Fri Apr 03 13:44:47 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,53,nan,nan,nan,0.13636363636363635
Lato ke Bhoot bato se nahi mante https://t.co/b6jXikiRPd,56,1246143688377430016,Fri Apr 03 18:33:02 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,"{'id': '39bcbc12c2a9eb56', 'url': 'https://api.twitter.com/1.1/geo/id/39bcbc12c2a9eb56.json', 'place_type': 'city', 'name': 'Bikaner', 'full_name': 'Bikaner, India', 'country_code': 'IN', 'country': 'India', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[72.206516, 27.698326], [73.741376, 27.698326], [73.741376, 28.903288], [72.206516, 28.903288]]]}, 'attributes': {}}",nan,nan,-0.2
"RT @jidesanwoolu: More great news from our Infectious Disease Hospital as 4 patients; 3 females and 1 male have recovered fully, tested neg…",140,1246151422892216321,Fri Apr 03 19:03:46 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,3871,nan,nan,nan,0.43333333333333335
"もしCOVID-19の感染が続いて年度の半分以上がダメになったら、本来今年なるはずだった学年を来年やることになりそう。
もしそうなればスポーツ選手のレンタル含めた契約もそうしてほしい。
俺なら来年の4月入学とか、久保建英なら来シーズンまでマジョルカとか。
#COVID19",136,1246419677917507589,Sat Apr 04 12:49:43 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,nan,nan,nan,0.0
RT @ReallySwara: This thread! #UddhavThackeray has emerged as one of the most able administrators we have in the  country today. Salute to…,139,1246517730657759232,Sat Apr 04 19:19:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,1948,nan,nan,nan,0.5
"RT @TntjTvr: #covidindia #tntj #COVID19  

Give food , save life . https://t.co/ba6ACehGCD",90,1247097712668893184,Mon Apr 06 09:43:59 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,3,nan,nan,nan,0.0
"RT @APA: As psychologists across the field move from face-to-face to remote communication, new ethical challenges are cropping up. Here are…",140,1247167871270014977,Mon Apr 06 14:22:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,56,nan,nan,nan,0.07878787878787878
"RT @NYGovCuomo: I am alarmed by the reported increase in domestic violence incidents.

NYS wants you to know: You are not trapped because o…",140,1247190232643952640,Mon Apr 06 15:51:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,2483,nan,nan,nan,0.10000000000000002
RT @somyalakhani: Brilliant.,28,1247246172177051650,Mon Apr 06 19:33:54 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,3,nan,nan,nan,0.9
